if,while,return,char,statement,break,Identifier,factor,int,void,else,string,IntegerNumber,float,bool,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1340
-,-,-,-,-,-,-,1341,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1338
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1330
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1349
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1343
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1343
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1359
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1358
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1349
-,-,-,-,-,-,-,1350,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1347
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1356
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1351
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1351
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1358
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1356
-,-,-,-,-,-,-,1357,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1354
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1346
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1329
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1206
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1049
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1037
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1363
