if,while,return,char,statement,break,Identifier,factor,int,void,else,string,IntegerNumber,float,bool,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,370
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,368
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,370
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,360
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,328
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,378
-,-,-,-,377,-,-,-,-,-,-,-,-,-,-,378
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,326
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,391
-,-,-,-,-,-,385,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,386
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,384
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,386
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,391
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,396
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,383
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,704
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,547
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,396
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,402
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,394
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,429
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,428
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,411
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,402
-,-,-,-,-,-,-,403,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,400
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,409
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,404
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,404
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,411
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,409
-,-,-,-,-,-,-,410,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,407
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,399
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,418
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,412
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,412
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,428
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,427
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,418
-,-,-,-,-,-,-,419,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,416
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,420
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,420
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,427
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,425
-,-,-,-,-,-,-,426,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,423
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,415
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,398
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,397
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,430
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,430
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,430
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,430
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,430
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,430
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,430
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,430
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,429
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,469
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,452
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,443
-,-,-,-,-,-,-,444,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,441
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,450
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,445
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,445
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,452
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,450
-,-,-,-,-,-,-,451,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,448
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,440
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,459
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,453
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,453
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,469
